flops,p50,p95,throughput,batched,peak_mb,params,metric,image_size
7353237504,13.347910717129707,15.898856427520514,1599.0129365040716,True,204.67529296875,22321962,unique,224
8818129920,21.544423885643482,28.862962126731873,368.9169714767932,True,646.89013671875,151277313,liqe_mix,224
3631244288,7.800620049238205,9.180462826043362,1188.8808801904406,True,178.92431640625,13242923,metaiqa,224
84046569472,14.529907144606113,18.230312690138817,252.33943399845725,True,463.19287109375,102007137,maclip,224
25157176320,27.621129527688026,34.58076445385814,145.34523840711756,True,467.58837890625,21588823,uranker,224
104972146688,40.63480254262686,50.124694500118494,50.11576524792388,True,1848.857421875,123456110,topiq_iaa,224
48896233472,29.00429256260395,38.7549533508718,113.22339736642797,True,1362.28369140625,73383567,topiq_iaa_res50,224
10325983232,22.4619647487998,29.90358266979456,508.76032980121266,True,282.923828125,23512129,arniqa-kadid,224
10325983232,22.180122323334217,28.700107615441084,472.1002636037785,True,282.923828125,23512129,arniqa-spaq,224
10325983232,23.92896357923746,41.14383850246667,467.3886444468776,True,282.923828125,23512129,arniqa-clive,224
10325983232,10.240024887025356,30.46379899606108,1808.4846475958718,True,282.923828125,23512129,arniqa-csiq,224
10325983232,10.845345444977283,24.854370485991236,1384.293479027222,True,282.923828125,23512129,arniqa-tid,224
10325983232,8.433525450527668,11.524186376482248,1658.2440980152887,True,282.923828125,23512129,arniqa-live,224
10325983232,11.863155290484428,12.695336528122425,1499.8994137793195,True,282.923828125,23512129,arniqa-flive,224
24143073280,8.960896171629429,11.37401154264807,1260.3810508673564,True,595.71240234375,16384,clipiqa+_rn50_512,224
700044400,7.5161037966609,9.287161566317076,973.6047278877608,True,313.31103515625,729801,cnniqa,224
6055401062400,394.1331719979644,616.2563232704997,2.891594499196997,False,23826.232421875,135747530,maniqa-kadid,224
6055401062400,320.36183401942253,407.9061918891965,2.9884041587979264,False,23826.232421875,135747530,maniqa-pipal,224
17797248768,33.658288419246674,54.33714026585221,243.42318170276425,True,1023.50244140625,27125825,musiq-paq2piq,224
26308519104,26.44352614879608,34.78467995300889,747.7956806418034,True,517.1943359375,54308001,nima-koniq,224
26308519104,16.75952412188053,22.234929446130987,878.6682650981368,True,517.1943359375,54308001,nima-spaq,224
30693271552,1.2813545763492584,1.7051835544407368,1162.8513244950364,True,671.9931640625,14719818,nima-vgg16-ava,224
10737664,1.932782121002674,2.9826427809894085,6577.592011756138,True,49.470703125,0,piqe,224
41600494080,15.782373026013374,21.834628004580736,310.77567812094924,True,1240.88525390625,45196934,topiq_nr-flive,224
1995184742400,135.95668133348227,149.55285703763366,7.501493441477787,True,24815.76416015625,152452265,tres-flive,224
